City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,20.98,81,100,5.96,PN,1731463570
1,jinghong,21.991,100.7341,23.25,74,0,0.67,CN,1731463572
2,taulaga,-11.0553,-171.0883,28.77,71,1,7.25,AS,1731463573
3,bethel,41.3712,-73.414,5.12,53,0,5.66,US,1731463574
4,gaspe,48.8334,-64.4819,0.12,64,75,8.23,CA,1731463493
5,constantia,44.1833,28.65,4.38,92,100,4.95,RO,1731463576
6,tsiombe,-25.3,45.4833,20.95,97,100,1.31,MG,1731463577
7,berezovyy,51.6667,135.7,-4.14,39,0,2.44,RU,1731463578
8,iskateley,67.6803,53.1512,-6.82,95,100,4.53,RU,1731463579
9,port mathurin,-19.6833,63.4167,24.34,81,66,7.8,MU,1731463581
10,abepura,-2.6333,140.5833,32.45,58,20,2.57,ID,1731463582
11,nagqu,31.5,92.0,-3.91,26,0,1.71,CN,1731463583
12,shelbyville,35.4834,-86.4603,12.06,36,0,2.57,US,1731463451
13,jamestown,42.097,-79.2353,-0.55,88,0,2.57,US,1731463448
14,garissa,-0.4536,39.6401,25.43,81,11,4.5,KE,1731463588
15,port-aux-francais,-49.35,70.2167,3.51,71,15,8.23,TF,1731463589
16,kodiak,57.79,-152.4072,2.73,44,0,3.6,US,1731463591
17,isafjordur,66.0755,-23.124,2.4,76,15,24.33,IS,1731463592
18,walvis bay,-22.9575,14.5053,13.53,94,28,2.06,NA,1731463593
19,zhanjiang,21.2815,110.3427,26.42,68,90,0.47,CN,1731463594
20,waitangi,-43.9535,-176.5597,13.79,70,4,4.02,NZ,1731463595
21,hammerfest,70.6634,23.6821,10.25,76,100,4.12,NO,1731463596
22,idri,27.5,13.2667,17.51,27,66,3.32,LY,1731463598
23,ripky,51.801,31.0838,-1.91,93,27,2.41,UA,1731463599
24,margaret river,-33.95,115.0667,20.95,48,70,1.31,AU,1731463600
25,mejit,10.2753,170.8646,28.29,72,5,6.7,MH,1731463601
